title,price_gbp,price_inr,rating,in_stock,category,book_url
A Light in the Attic,51.77,5461.74,3,True,Poetry,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,53.74,5669.57,1,True,Historical Fiction,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
Soumission,50.1,5285.55,1,True,Fiction,https://books.toscrape.com/catalogue/soumission_998/index.html
Sharp Objects,47.82,5045.01,4,True,Mystery,https://books.toscrape.com/catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,54.23,5721.26,5,True,History,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,22.65,2389.57,1,True,Young Adult,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,33.34,3517.37,4,True,Business,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,1891.62,3,True,Default,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,2384.3,4,True,Default,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,52.15,5501.82,1,True,Poetry,https://books.toscrape.com/catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,1475.94,2,True,Default,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,20.66,2179.63,4,True,Poetry,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html
Set Me Free,17.46,1842.03,5,True,Young Adult,https://books.toscrape.com/catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.6,5,True,Sequential Art,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,35.02,3694.61,5,True,Music,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,6039.88,3,True,Music,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,23.88,2519.34,1,True,Poetry,https://books.toscrape.com/catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,3965.75,1,True,Science Fiction,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,51.33,5415.32,2,True,Politics,https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,45.17,4765.44,2,True,Travel,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
In Her Wake,12.84,1354.62,1,True,Thriller,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
How Music Works,37.32,3937.26,2,True,Music,https://books.toscrape.com/catalogue/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3219.86,3,True,Food and Drink,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),25.27,2665.98,5,True,Romance,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,34.53,3642.92,5,True,Romance,https://books.toscrape.com/catalogue/black-dust_976/index.html
Birdsong: A Story in Pictures,54.64,5764.52,3,True,Childrens,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,2373.75,3,True,Default,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,53.13,5605.22,3,True,Default,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,4251.65,5,True,Nonfiction,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,44.18,4660.99,4,True,Art,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,17.66,1863.13,5,True,Spirituality,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3275.78,3,True,Nonfiction,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,23.82,2513.01,5,True,Thriller,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
The Bear and the Piano,36.89,3891.9,1,True,Childrens,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Sophie's World,15.94,1681.67,5,True,Philosophy,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Penny Maybe,33.29,3512.1,3,True,Default,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,18.02,1901.11,2,True,Default,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",19.63,2070.96,1,True,Mystery,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Behind Closed Doors,52.22,5509.21,4,True,Thriller,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
You can't bury them all: Poems,33.63,3547.96,2,True,Poetry,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
Slow States of Collapse: Poems,57.31,6046.2,3,True,Poetry,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Reasons to Stay Alive,26.41,2786.26,2,True,Nonfiction,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
Private Paris (Private #10),47.61,5022.85,5,True,Fiction,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,2438.1,5,True,Nonfiction,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
Without Borders (Wanderlove #1),45.07,4754.88,2,True,New Adult,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
When We Collided,31.77,3351.74,1,True,Contemporary,https://books.toscrape.com/catalogue/when-we-collided_955/index.html
"We Love You, Charlie Freeman",50.27,5303.48,5,True,Fiction,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
Untitled Collection: Sabbath Poems 2014,14.27,1505.48,4,True,Poetry,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4660.99,4,True,Nonfiction,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
Unicorn Tracks,18.78,1981.29,3,True,Fantasy,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,2692.36,1,True,History,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1717.54,1,True,Sequential Art,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3283.16,3,True,Nonfiction,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
This One Summer,19.49,2056.19,4,True,Sequential Art,https://books.toscrape.com/catalogue/this-one-summer_947/index.html
Thirst,17.27,1821.98,5,True,Fiction,https://books.toscrape.com/catalogue/thirst_946/index.html
The Torch Is Passed: A Harding Family Story,19.09,2014.0,1,True,Add a comment,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
The Secret of Dreadwillow Carse,56.13,5921.72,1,True,Childrens,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,5951.25,1,True,Food and Drink,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
The Past Never Ends,56.5,5960.75,4,True,Mystery,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
The Natural History of Us (The Fine Art of Pretending #2),45.22,4770.71,3,True,Young Adult,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
The Nameless City (The Nameless City #1),38.16,4025.88,4,True,Sequential Art,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Murder That Never Was (Forensic Instincts #5),54.11,5708.6,3,True,Fiction,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
