sql_title,sql_category_name,sql_rating,pandas_title,pandas_category_name,pandas_rating
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,5,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,5
Black Dust,Romance,5,Black Dust,Romance,5
Chase Me (Paris Nights #2),Romance,5,Chase Me (Paris Nights #2),Romance,5
Join,Science Fiction,5,Join,Science Fiction,5
Princess Between Worlds (Wide-Awake Princess #5),Fantasy,5,Princess Between Worlds (Wide-Awake Princess #5),Fantasy,5
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,5,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,5
Private Paris (Private #10),Fiction,5,Private Paris (Private #10),Fiction,5
Rip it Up and Start Again,Music,5,Rip it Up and Start Again,Music,5
Sapiens: A Brief History of Humankind,History,5,Sapiens: A Brief History of Humankind,History,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,5,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,5
